picture_url,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,room_type_Entire home/apt,room_type_Other,room_type_Private room,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,distance_to_center,beds_per_bedroom,amenity_count,image_downloaded,mos
https://a0.muscache.com/pictures/miso/Hosting-1034897833823176761/original/6f46aec2-5abc-4ec3-8367-84728304c80a.jpeg,4,1.0,2.0,2.0,370.0,7,365,21,136,True,False,False,False,False,True,False,False,5.230988235418119,1.0,34,True,6.3231951259076595
https://a0.muscache.com/pictures/miso/Hosting-976362963064737214/original/26a3df68-1a82-4603-ae76-742aef6f980b.jpeg,2,1.0,1.0,1.0,103.0,30,365,30,269,False,False,True,False,False,False,True,False,9.221794984953585,1.0,32,True,6.738057689741254
https://a0.muscache.com/pictures/miso/Hosting-885055802653396959/original/66951d05-73ed-4fa1-af21-05463b722e1d.jpeg,4,1.0,2.0,2.0,93.0,30,365,28,164,True,False,False,False,True,False,False,False,14.928721407226094,1.0,46,True,5.720683833584189
https://a0.muscache.com/pictures/7d0bf7c5-89bc-44be-a497-fb2c7fe5476d.jpg,4,1.0,1.0,1.0,135.0,30,1125,0,0,True,False,False,False,False,False,True,False,13.25689108811719,1.0,28,True,8.29184976266697
https://a0.muscache.com/pictures/53407511/f0e571b1_original.jpg,2,1.0,2.0,1.0,99.0,30,60,29,364,False,False,True,False,False,False,True,False,9.904517161832871,0.5,4,True,6.473088622558862
https://a0.muscache.com/pictures/7a0bac33-4d96-4d58-bf9c-79f56c8e7fd1.jpg,2,1.0,1.0,1.0,58.0,30,50,0,0,False,False,True,False,True,False,False,False,5.882008188121062,1.0,9,True,6.620706220623106
https://a0.muscache.com/pictures/miso/Hosting-639247662490823776/original/83cd8bc1-2325-4c99-94d4-323bf0df8ec1.jpeg,5,1.0,2.0,4.0,193.0,30,1125,30,180,True,False,False,False,False,False,True,False,17.16017016593065,2.0,38,True,6.420815300196409
https://a0.muscache.com/pictures/27dedf6b-c7ca-48db-86a6-08362e9452b6.jpg,3,1.0,1.0,1.0,210.0,30,1125,0,0,True,False,False,False,False,True,False,False,4.668226944943826,1.0,13,True,5.972022321075201
https://a0.muscache.com/pictures/hosting/Hosting-984613310146792025/original/a6ae0964-0f79-46fe-be7f-a4aae5913b91.jpeg,1,1.0,1.0,1.0,50.0,30,30,7,67,False,False,True,False,True,False,False,False,4.679854130350947,1.0,35,True,5.322863131761551
https://a0.muscache.com/pictures/25601997/82a7cf05_original.jpg,3,1.0,1.0,1.0,159.0,30,1125,0,0,True,False,False,False,True,False,False,False,7.900158365867403,1.0,38,True,6.644644660875201
https://a0.muscache.com/pictures/miso/Hosting-9253827/original/57a021da-1b00-481f-a4fc-48c7343d3e0f.jpeg,2,1.0,1.0,1.0,104.0,30,90,0,0,True,False,False,False,True,False,False,False,5.466793145008782,1.0,35,True,6.245971959084272
https://a0.muscache.com/pictures/prohost-api/Hosting-51907154/original/c78de7b1-833d-4922-8602-8e6573849454.jpeg,2,1.0,1.0,1.0,403.0,1,1125,25,360,True,False,False,False,False,True,False,False,1.4224636190404465,1.0,20,True,6.925938264466822
